ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ
54,65105000954,คลินิกณัฐการพยาบาลฯ,น.ส.ณัฐยาภรณ์  แย้มขะมัง,นส.ณัฐยาภรณ์  แย้มขะมัง,575/2 ม.7 ต.แก่งโสภา อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
55,65105001154,พรรณรายคลินิกการพยาบาลฯ ,น.ส.พรรณราย  เล็กประเสริฐ,น.ส.พรรณราย  เล็กประเสริฐ,153/5 ม.1 ต.บ้านแยง อ.นครไทย จ.พิษณุโลก,,,พยาบาล,,,,,,,
56,65105001254,คลินิกอนันตญาการพยาบาลฯ,นางอนันตญา  จันทรมณี,นางอนันตญา  จันทรมณี,64/5 ม.4 ต.พลายชุมพล อ.เมือง จ.พิษณุโลก,,,พยาบาล,อนันตญาคลินิค,,,https://www.facebook.com/pages/%E0%B8%AD%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%8D%E0%B8%B2%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%84/618480298168435,,,เพจไม่เป็นทางการ
57,65105001954,ภูเบศคลินิกการพยาบาลฯ,นายภูเบศ  ด้วงสงกา,นายภูเบศ  ด้วงสงกา,41 ม.3 ต.คันโช้ง อ.วัดโบสถ์ จ.พิษณุโลก,,,พยาบาล,,,,,,,
58,65105002254,ปภาดาคลินิกการพยาบาลฯ,นางปภาดา  อภิโชครัตนกุล,นางปภาดา  อภิโชครัตนกุล,258/1 ม.8 ต.ดอนทอง อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
59,65105002354,คลินิกการพยาบาลฯบ้านปรือกระเทียม,นางจินดา  ผ่องแผ้ว,นางจินดา  ผ่องแผ้ว,73 ม.2 ต.บึงกอก อ.บางระกำ จ.พิษณุโลก,,,พยาบาล,,,,,,,
60,65105002454,ราตรีคลินิกการพยาบาลฯ,น.ส.ราตรี  คงเมือง,น.ส.ราตรี  คงเมือง,469/1 ม.5 ต.ป่าแดง อ.ชาติตระการ จ.พิษณุโลก,,,พยาบาล,,,,,,,
61,65105002654,สมหมายคลินิกการพยาบาลฯ,นางสมหมาย ทิมอ้น,นางสมหมาย ทิมอ้น,10/1 ม.1 ต.ท่างาม อ.วัดโบสถ์ จ.พิษณุโลก,,,พยาบาล,,,,,,,
62,65105002754,คลินิกการพยาบาลฯศรัญญา,นางศรัญญา  คุ้มวันดี,นางศรัญญา  คุ้มวันดี,49 ม.1 ต.สวนเมี่ยง อ.ชาติตระการ จ.พิษณุโลก,,,พยาบาล,,,,,,,
63,65105002854,ภาวิณีคลินิกการพยาบาลฯ,น.ส.ภาวิณี  เภารอด,น.ส.ภาวิณี  เภารอด,109 ม.3 ต.ปากโทก อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
64,65105000255,ชุมแสงคลินิกการพยาบาลฯ,นายรตช  กุญชรชัย,น.ส.อมรรัตน์  วิบูลสุนทรางกูล,34/4 ม.11 ต.ชุมแสงสงคราม อ.บางระกำ จ.พิษณุโลก,,,พยาบาล,,,,,,,
65,65105000555,ณัฐรัชต์คลินิกการพยาบาลฯ,ว่าที่ร้อยตรีปิยวัฒน์  มากบุญ,ว่าที่ร้อยตรีปิยวัฒน์  มากบุญ,43/1 ม.2 ต.มะตุม อ.พรหมพิราม จ.พิษณุโลก,,,พยาบาล,,,,,,,
66,65105000655,พงศ์พัชราคลินิกการพยาบาลฯ,น.ส.พงศ์พัชรา  สนองคุณชูสิน,น.ส.พงศ์พัชรา  สนองคุณชูสิน,671 ม.1 ต.วงฆ้อง อ.พรหมพิราม จ.พิษณุโลก,,,พยาบาล,,,,,,,
67,65105000755,ศิริโชตินันท์คลินิกการพยาบาลฯ,นายศิริโชตินันท์  วังคิรี,นายศิริโชตินันท์  วังคิรี,23/4 ม.15 ต.ชมพู อ.เนินมะปราง จ.พิษณุโลก,055-992230,,พยาบาล,ศิริโชตินันท์คลินิกการพยาบาลและการผดุงครรภ์,"ตรวจรักษาโรคเบื้องต้น
ให้คำแนะนำด้านสุขภาพ
สร้างเสริมภูมิคุ้มกันโรค
วางแผนครอบครัว",082 873 6453,https://www.facebook.com/%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B9%82%E0%B8%8A%E0%B8%95%E0%B8%B4%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B9%8C%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9C%E0%B8%94%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%A0%E0%B9%8C-748382105290557/,https://scontent.fphs2-1.fna.fbcdn.net/v/t31.0-8/12017462_748383261957108_5222404730875230083_o.jpg?_nc_cat=108&_nc_oc=AQk75S5EnhOGlTswo_yPWL0VAHOT6qRmpccFATe6I8kiiFxcTtkGwnvGmpB4_XVDivS1tptO-G9ok3GsRZYh6NI-&_nc_ht=scontent.fphs2-1.fna&oh=3a346dade9a6a7462b59d4050918e512&oe=5E1FD372,,เพจทางการ
68,65105000855,โสภาคลินิกการพยาบาลฯ,น.ส.โสภา  คล้ายแท้,น.ส.โสภา  คล้ายแท้,83/2 ม.1 ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
69,65105001355,เอกกมลคลินิกการพยาบาลฯ,นางพิมใจ  รุ่งเรือง,นางพิมใจ  รุ่งเรือง,20/3 ม.4 ต.ทับยายเชียง อ.พรหมพิราม จ.พิษณุโลก,,,พยาบาล,คลินิกเอกกมล,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%81%E0%B8%A1%E0%B8%A5/991565354263116,,,เพจไม่เป็นทางการ
70,65105001555,ต้นคูนคลินิกการพยาบาลฯ,นางสุดารัตน์  พิมพ์ระเบียบ,นางสุดารัตน์  พิมพ์ระเบียบ,617 ม.4 ต.วัดโบสถ์ อ.วัดโบสถ์ จ.พิษณุโลก,,,พยาบาล,,,,,,,
71,65105001755,วรชัยคลินิกการพยาบาลฯ,นายวรชัย  แสงปัญญา,นายวรชัย  แสงปัญญา,37 ม.1 ต.น้ำกุ่ม อ.นครไทย จ.พิษณุโลก,,,พยาบาล,,,,,,,
72,65105002055,ดวงเดือนคลินิกการพยาบาลฯ,นางเพ็ญสินี  มากบุญ,นางเพ็ญสินี  มากบุญ,41/3 ม.3 ต.ศรีภิรมย์ อ.พรหมพิราม จ.พิษณุโลก,,,พยาบาล,,,,,,,
73,65105000956,หฤทัยคลินิกการพยาบาลฯ,นางหฤทัย  แสงแก้ว,นางหฤทัย  แสงแก้ว,212 ม.17 ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก,,,พยาบาล,คลินิกหฤทัยการพยาบาลและการผดุงครรภ์,"เวลาเปิดทำการ จันทร์-อาทิตย์ เวลา 8.30 - 17.00น.
0872077708",087 207 7708,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A4%E0%B8%97%E0%B8%B1%E0%B8%A2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9C%E0%B8%94%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%A0%E0%B9%8C-581883115261710/,,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/14680587_1114001598716523_921359955357209208_n.jpg?_nc_cat=103&_nc_oc=AQmQtcvxAHFO2SK0qUnNH84p5RNQV6YdxICRwTsgcdNTTdp7VJUJh3ys4-jkOuG6mdOnnGyLNYnPCTrUdutEjZKu&_nc_ht=scontent.fphs2-1.fna&oh=84124f2aa8cfd8dc8bdace3cee6859ba&oe=5E39FDDC,เพจทางการ
74,65105001056,เอกกมล3 คลินิกการพยาบาลฯ,นายเกียรติศักดิ์  รุ่งเรือง,นายเกียรติศักดิ์  รุ่งเรือง,42/5 ม.4 ต.ท่านางงาม อ.บางระกำ จ.พิษณุโลก,,,พยาบาล,,,,,,,
75,65105001156,ปัทมาคลินิกการพยาบาลฯ,นางปัทมา  กรองใจ,นางปัทมา  กรองใจ,83/1 ม.8 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
76,65105001356,เบญจมาศคลินิกการพยาบาลฯ,น.ส.เบญจมาศ  พงศ์สวัสดิรักษา,น.ส.เบญจมาศ  พงศ์สวัสดิรักษา,194/20 ม.7 ต.บางระกำ อ.บางระกำ จ.พิษณุโลก,,,พยาบาล,,,,,,,
77,65105001456,อวินนท์คลินิกการพยาบาลฯ,น.ส.อวินนท์  บัวประชุม,น.ส.อวินนท์  บัวประชุม,37/1 ม.12 ต.นครป่าหมาก อ.บางกระทุ่ม จ.พิษณุโลก,,,พยาบาล,,,,,,,
78,65105001656,อภิญญาคลินิกการพยาบาลฯ,น.ส.อภิญญา  แก้วพิลา,น.ส.อภิญญา  แก้วพิลา,235 ม.7 ต.แก่งโสภา อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
79,65105001856,วัลลภาคลินิกการพยาบาลฯ,นางวัลลภา  พงษ์นรินทร์,นางวัลลภา  พงษ์นรินทร์,3/24 ม.5 ต.วังน้ำคู้ อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
81,65105002356,วิไลพรคลินิกการพยาบาลฯ,นางวิไลพร แก้ววัฒนกุล,นางวิไลพร แก้ววัฒนกุล,19/1 ม.6 ต.วัดตายม อ.บางกระทุ่ม จ.พิษณุโลก,,,พยาบาล,,,,,,,
82,65105000757,ศรีนวลคลินิกการพยาบาลฯ,นางศรีนวล  ยศธสาร,นางศรีนวล  ยศธสาร,98/18 ม.5 ต.วัดตายม อ.บางกระทุ่ม จ.พิษณุโลก,,,พยาบาล,,,,,,,
83,65105000857,หนองตมคลินิกการพยาบาลฯ,นางศิริชล  เปี้ยจันทร์,นางศิริชล  เปี้ยจันทร์,508/3 ม.1 ต.วงฆ้อง อ.พรหมพิราม จ.พิษณุโลก,,,พยาบาล,,,,,,,
84,65105000957,อภิชญาคลินิกการพยาบาลฯ,น.ส.อภิชญา  นิคม,น.ส.อภิชญา  นิคม,106 ม.1 ต.ไผ่ขอดอน อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
85,65105001257,ศิริรัตนคลินิกการพยาบาลฯ,น.ส.ศิริรัตน์  มีแสง,น.ส.ศิริรัตน์  มีแสง,32/3 ม.5 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
86,65105001457,ศิริลักษณ์คลินิกการพยาบาลฯ,นางศิริลักษณ์ โกวิทยานนท์,นางศิริลักษณ์ โกวิทยานนท์,83 ม.1 ต.วัดพริก อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
87,65105001757,ชมภูคลินิกการพยาบาลฯ,นางชมภู อยู่อ่ำ,นางชมภู อยู่อ่ำ,990/4 ม.1 ต.วงฆ้อง อ.พรหมพิราม จ.พิษณุโลก,, 4 เม.ย.61,พยาบาล,,,,,,,
88,65105001957,พันณะกิจคลินิกการพยาบาลฯ,นายศิขรินทร์ พันณะกิจ,นายศิขรินทร์ พันณะกิจ,18 ม.10 ต.บ่อโพธ์ อ.นครไทย จ.พิษณุโลก,,,พยาบาล,,,,,,,
89,65105002057,สุวิภาคลินิกการพยาบาลฯ,น.ส.สุวิภา จำปาแก้ว,น.ส.สุวิภา จำปาแก้ว,25 ม.2 ต.ชมพู อ.เนินมะปราง จ.พิษณุโลก,,เลิก 14 ก.พ.57,พยาบาล,,,,,,,
90,65105002257,ลวินีย์คลินิกการพยาบาลฯ,นางลวินีย์  ฮวมน้อย,นางลวินีย์  ฮวมน้อย,140 ม.3 ต.สมอแข อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
91,65105002357,นภณัฐคลินิกการพยาบาลฯ,นางนภณัฐ  แจ้คำ,นางนภณัฐ  แจ้คำ,377/4 ม.25 ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก,, 30 เม.ย.61,พยาบาล,,,,,,,
92,65105000758,ธมลวรรณคลินิกการพยาบาลฯ,น.ส.ธมลวรรณ  จูอ๊อต,น.ส.ธมลวรรณ  จูอ๊อต,161/18 ม.1 ต.วัดโบสถ์ อ.วัดโบสถ์ จ.พิษณุโลก,055-291511,,พยาบาล,,,,,,,
93,65105001058,ซ่อนกลิ่นผลเจริญคลินิกการพยาบาลฯ,นางซ่อนกลิ่น  ม่วงทิม,นางซ่อนกลิ่น  ม่วงทิม,101 ม.11 ต.ป่าแดง อ.ชาติตระการ จ.พิษณุโลก,,,พยาบาล,,,,,,,
94,65105001158,ทิวาวรรณคลินิกการพยาบาลฯ,น.ส.ทิวาวรรณ  หุ่นทอง,น.ส.ทิวาวรรณ  หุ่นทอง,94/1 ม.7 ต.ท่าทอง อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
95,65105001258,ปุณยนุชคลินิกการพยาบาลฯ,นางปุณยนุช  สินค้างาม,นางปุณยนุช  สินค้างาม,1/3 ม.3 ต.ปลักแรด อ.เมือง จ.พิษณุโลก,,,พยาบาล,คลินิกปุณยนุช,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%9B%E0%B8%B8%E0%B8%93%E0%B8%A2%E0%B8%99%E0%B8%B8%E0%B8%8A/537812333040351,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c2.0.320.320a/p320x320/38712099_210046973191314_4708760448344784896_n.jpg?_nc_cat=102&_nc_oc=AQm84BqaaQJA72ZvMozRSpAmCJXD1NrPdnmtsSyLm-iu3Iw_KtAv_NqqUlYwFE28yhYalIFabnWsoElHtLidhyHe&_nc_ht=scontent.fphs2-1.fna&oh=b34da7591f7c98f6ae9889656fdb06bc&oe=5E1C5872,,เพจไม่เป็นทางการ
96,65105001358,ศุภลักษณ์คลินิกการพยาบาลฯ,น.ส.ศุภลักษณ์  ชมภูมี,น.ส.ศุภลักษณ์  ชมภูมี,144/2 ม.3 ต.ไทรย้อย อ.เนิมะปราง จ.พิษณุโลก,,,พยาบาล,,,,,,,
97,65105001458,นุชคลินิกการพยาบาลฯ,นางนีรนุช  ผงผาย,นางนีรนุช  ผงผาย,99/2 ม.19 ต.วังนกแอ่น อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
98,65105001558,สุวีร์พรคลินิกการพยาบาลฯ,น.ส.สุวีร์พร  สีหอแก้ว,น.ส.สุวีร์พร  สีหอแก้ว,30/2 ม.2 ต.เนินมะปราง อ.เนิมะปราง จ.พิษณุโลก,,9-เม.ย.-61,พยาบาล,,,,,,,
99,65105001658,อัยลิศาคลินิกการพยาบาลฯ,น.ส.อัยลิศา  วัฒนาณรงค์,น.ส.อัยลิศา  วัฒนาณรงค์,231 ม.4 ต.บึงพระ อ.เมือง จ.พิษณุโลก,,,พยาบาล,อัยลิศาคลินิก การพยาบาลและการผดุงครรภ์,,,https://www.facebook.com/pages/%E0%B8%AD%E0%B8%B1%E0%B8%A2%E0%B8%A5%E0%B8%B4%E0%B8%A8%E0%B8%B2%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9C%E0%B8%94%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%A0%E0%B9%8C/136647423869207,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/59896925_1284341288397943_1506415970405580800_n.jpg?_nc_cat=110&_nc_oc=AQkHSRIHQ7FrDtEmp0nTcMf8QmTrzdJaD7iBOvB8q_WmDZ-lKnG1O-rqk1SRhLBgnA-A3CSNPbEhIv8WijxnFCBy&_nc_ht=scontent.fphs2-1.fna&oh=5172c12651a198dd483ae0edbd1906a3&oe=5E36D3B6,,เพจไม่เป็นทางการ
100,65105001858,ทรัพย์ไพรวัลย์คลินิกการพยาบาลฯ,น.ส.สุทธิพร  เงี้ยวเกิด,น.ส.สุทธิพร  เงี้ยวเกิด,279/1 ม.7 ต.แก่งโสภา อ.วังทอง จ.พิษณุโลก,,เลิก 7 มิ.ย.61,พยาบาล,,,,,,,
101,65105001958,อำภาศรีคลินิกการพยาบาลฯ,นางอำภาศรี  ศรียศ,นางอำภาศรี  ศรียศ,90 ม.7 ต.เนินเพิ่ม อ.นครไทย จ.พิษณุโลก,,,พยาบาล,,,,,,,
102,65105002258,ดอนทองคลินิกการพยาบาลฯ,น.ส.ธัญญ์ณัฐ  แสงท่านั่ง,น.ส.ธัญญ์ณัฐ  แสงท่านั่ง,43/2 ม.2 ต.ดอนทอง อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
103,65105002358,ยุทธพลคลินิกการพยาบาลฯ,นายยุทธพล  ทองนาคปาน,นายยุทธพล  ทองนาคปาน,225 ม.6 ต.นาบัว อ.นครไทย จ.พิษณุโลก,,,พยาบาล,,,,,,,
104,65105002458,ธัญกานต์คลินิกการพยาบาลฯ,นางธัญกานต์  สังข์ยัง,นางธัญกานต์  สังข์ยัง,109/9 ม.4 ต.พรหมพิราม อ.พรหมพิราม จ.พิษณุโลก,,,พยาบาล,,,,,,,
105,65105002558,น้ำผึ้งคลินิกการพยาบาลฯ,นางน้ำผึ้ง  พูลชู,นางน้ำผึ้ง  พูลชู,59 ม.9 ต.ดอนทอง อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
106,65105000359,พรหมพิรามคลินิกการพยาบาลฯ,ร.ต.อ.หญิงรัตชดาภร  จันทร์ประทีป,ร.ต.อ.หญิงรัตชดาภร  จันทร์ประทีป,9/13 ม. ต.พรหมพิราม อ.พรหมพิราม จ.พิษณุโลก,,,พยาบาล,,,,,,,
107,65105000559,สุพิมพ์คลินิกการพยาบาลฯ,นางสุพิมพ์  มะปะวงศ์,นางสุพิมพ์  มะปะวงศ์,50/1 ม.11 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
108,65105000659,เพ็ญศรีคลินิกการพยาบาลฯ,น.ส.เพ็ญศรี  มูลหล้า,น.ส.เพ็ญศรี  มูลหล้า,59/4 ม.1 ต.ชมพู อ.เนินมะปราง จ.พิษณุโลก,,,พยาบาล,,,,,,,
109,65105000759,จิรพัฒน์คลินิกการพยาบาลฯ,นางจิรพัฒน์  เพ็งเมืองนนท์,นางจิรพัฒน์  เพ็งเมืองนนท์,5 ม.2 ต.ท่าตาล อ.บางกระทุ่ม จ.พิษณุโลก,,,พยาบาล,,,,,,,
110,65105000859,ชุติมณฑน์คลินิกการพยาบาลฯ,น.ส.ชุติมณฑน์  สุขชาวนา,น.ส.ชุติมณฑน์  สุขชาวนา,120 ม.3 ต.ท่าสะแก อ.ชาติตระการ จ.พิษณุโลก,,,พยาบาล,,,,,,,
111,65105000959,อลิษาคลินิกการพยาบาลฯ,นางอลิษา  เมืองสนธิ์,นางอลิษา  เมืองสนธิ์,156/1 ม.3 ต.ชมพู อ.เนินมะปราง จ.พิษณุโลก,,,พยาบาล,,,,,,,
112,65105001059,ธิดารัตน์คลินิกการพยาบาลฯ,น.ส.ธิดารัตน์  คำบรรลือ,น.ส.ธิดารัตน์  คำบรรลือ,3 ม.4 ต.หนองกุลา อ.บางระกำ จ.พิษณุโลก,,9-ม.ค.-61,พยาบาล,,,,,,,
113,65105001359,ปารดาคลินิกการพยาบาลฯ,น.ส.ปานรดา  โพธิ์สาน,น.ส.ปานรดา  โพธิ์สาน,53/1 ม.12 ต.นครป่าหมาก อ.บางกระทุ่ม จ.พิษณุโลก,,,พยาบาล,,,,,,,
114,65105001459,ดลหทัยคลินิกการพยาบาลฯ,นางดลหทัย  กมล,นางดลหทัย  กมล,160 ม.15 ต.พรหมพิราม อ.พรหมพิราม จ.พิษณุโลก,,29-ม.ค.-61,พยาบาล,,,,,,,
115,65105001659,สลิสาคลินิกการพยาบาลฯ,นางสลิสา  เวียงสาม,นางณัฐฐิญา  ศิริรัตนาชุติวัต,183 ม.3 ต.สมอแข อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
116,65105001859,ศิระคลินิกการพยาบาลฯ,นายศิระ  ปานแย้ม,นายศิระ  ปานแย้ม,111/63 ม.7 ต.บางระกำ อ.บางระกำ จ.พิษณุโลก,,,พยาบาล,ศิระ - หมอดามพ์ คลินิกการพยาบาลฯ,,,https://www.facebook.com/pages/%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B0-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%94%E0%B8%B2%E0%B8%A1%E0%B8%9E%E0%B9%8C-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AF/644134339071042,,,เพจไม่เป็นทางการ
117,65105001959,อุสุมาคลินิกการพยาบาลฯ,นางอุสุมา  วงศ์ตัว,นางอุสุมา  วงศ์ตัว,298 ม.12 ต.ท่างาม อ.วัดโบสถ์ จ.พิษณุโลก,,,พยาบาล,,,,,,,
118,65105000260,พิมพ์ชนกคลินิกการพยาบาลฯ,น.ส.พิมพ์ชนก  กันภัย,น.ส.พิมพ์ชนก  กันภัย,291 ม.9 ต.บ้านพร้าว อ.นครไทย จ.พิษณุโลก,, 19 เม.ย.61,พยาบาล,,,,,,,
119,65105000360,พิชนคลินิกการพยาบาลฯ,นายพิชน  ศรีนวลชัย,นายพิชน  ศรีนวลชัย,82 ม.4 ต.นครชุม อ.นครไทย จ.พิษณุโลก,,,พยาบาล,,,,,,,
120,65105000560,สุวราคลินิกการพยาบาลฯ,นางสุวรา  ใจปัญญา,นางสุวรา  ใจปัญญา,19/2 ม.19 ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
121,65105000860,แก่งโสภาคลินิกการพยาบาลฯ,นางไพลิน  ตั้งศรีวงศ์,นางไพลิน  ตั้งศรีวงศ์,593/7 ม.7 ต.แก่งโสภา อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
122,65105000960,นพวรรณคลินิกการพยาบาลฯ,นางนันท์นภัส  เณรศาสตร์,นางนันท์นภัส  เณรศาสตร์,177 ม.1 ต.ท้อแท้ อ.วัดโบสถ์ จ.พิษณุโลก,,,พยาบาล,,,,,,,
123,65105001060,พรคลินิกการพยาบาลฯ,น.ส.สมพร  อินสม,น.ส.สมพร  อินสม,159/1 ม.4 ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
124,65105001160,เนินกุ่มคลินิกการพยาบาลฯ,นายกฤษฎา  มากำเนิด,นายกฤษฎา  มากำเนิด,109/8 ม.4 ต.เนินกุ่ม อ.บางกระทุ่ม จ.พิษณุโลก,,,พยาบาล,,,,,,,
125,65105001360,ชวิฌฎาคลินิกการพยาบาลฯ,นายชวิฌฎา  โจชัยชาญ,นายชวิฌฎา  โจชัยชาญ,160 ม.2 ต.บ้านน้อยซุ้มขี้เหล็ก อ.เนินมะปราง จ.พิษณุโลก,,,พยาบาล,,,,,,,
126,65105001460,ภูษิตาคลินิกการพยาบาลฯ,น.ส.ภูษิตา  ครุธดิลกานันท์,น.ส.ภูษิตา  ครุธดิลกานันท์,38/2 ม.7 ต.วังทอง อ.วังทอง จ.พิษณุโลก,,,พยาบาล,,,,,,,
127,65105001560,นวินดาคลินิกการพยาบาลฯ,น.ส.นวินดา  พรมรักษา,น.ส.นวินดา  พรมรักษา,39 ม.2 ต.บ่อโพธิ์ อ.เมือง จ.พิษณุโลก,,,พยาบาล,นวินดาคลินิกการพยาบาลและการผดุงครรภ์,รับปรึกษาปัญหาสุขภาพ ดูแลสุขภาพแบบองค์รวม,,https://www.facebook.com/%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B8%94%E0%B8%B2%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9C%E0%B8%94%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%A0%E0%B9%8C-271274809875732/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/22089460_532886013714609_5777937161864609337_n.jpg?_nc_cat=110&_nc_oc=AQl2KyKPLz9MRO3p5nQ7Wp3_-82__TFFSdfc8_1GChv2EMLH6MGNRVtyxpq91WX0wRZ25W24Qi9bopTLTLL2Gxj8&_nc_ht=scontent.fphs2-1.fna&oh=27b385d021bd238d58f870e8868da906&oe=5E1A3A37,,เพจทางการ
128,65105001660,สันทนาคลินิกการพยาบาลฯ,นางสันทนา  นาวัลย์,นางสันทนา  นาวัลย์,445/1 ม.4 ต.บ่านน้อยซุ้มขี้เหล็ก อ.เนินมะปราง จ.พิษณุโลก,,,พยาบาล,,,,,,,
129,65105001760,หน้าวัดคลินิกการพยาบาลฯ,นางรุ่งรัตน์ อนุกูลพิพัฒน์,นางรุ่งรัตน์ อนุกูลพิพัฒน์,109/133 ม.7 ต.บางระกำ อ.บางระกำ จ.พิษณุโลก,,,พยาบาล,,,,,,,
130,65105001860,กิตติศักดิ์คลินิกการพยาบาลฯ,นายกิตติศักดิ์  คัมภีระ,นายกิตติศักดิ์  คัมภีระ,57/8 ม.11 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก,,,พยาบาล,,,,,,,
